Num_etab;Type_e;Appellation officielle;Label;Items;Année;Date de 1ère labellisation;Renouvellement 1;Renouvellement 2;Renouvellement 3;Renouvellement 4;Secteur;Commune;Latitude;Longitude;Nature uai;Département;Type de contrat;Téléphone;Chef d'établissement;territoire
0390929Y;école;Ecole maternelle Valentenouze;Niveau 1;11;2025;2020 - Niveau 1;2025  -  Niveau 1;2030;;;Public;Champagnole;46.75182797541441;5.895450268202047;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0391092A;lycée GT ou polyvalent;Lycée polyvalent Paul-Emile Victor - Lycée des métiers du social et de l'industrie 4.0;Niveau 3;21;2024;2014 - Niveau 2;2019  -  Perte;2024  - Niveau 3;2029;;Public;Champagnole;46.743738337322505;5.924580087813286;LYCEE POLYVALENT;Jura;SANS OBJET;384531000;CAPRISTO Rosine;
0390514X;école;Ecole primaire;Niveau 2;14;2024;2024 - Niveau 2;;;;;Public;Chapelle-Voland;46.80200998834724;5.377670549158503;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390526K;école;Ecole primaire;Niveau 3;20;2023;2023 - Niveau 3;;;;;Public;Chaumergy;46.84681911848071;5.478529710738746;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390009Y;collège;Collège des Lacs;Niveau 3;20;2024;2014 - Niveau 2;2019  -  Niveau 1;2029;;;Public;Clairvaux-les-Lacs;46.57421041228855;5.755289849794156;COLLEGE;Jura;SANS OBJET;384258302;PERRIN Nicole;
0390055Y;EREA;Etablissement régional d'enseignement adapté La Moraine;Niveau 2;13;2021;2021 - Niveau 2;;;;;Public;Crotenay;46.7556660194734;5.810190131096328;ETAB REGIONAL/LYCEE ENSEIGNEMENT ADAPTE;Jura;SANS OBJET;;DURBAN Christophe;
0390010Z;collège;Collège Jean Jaurès;Niveau 2;17;2024;2018 - Niveau 1;2023  -  Perte;2029;;;Public;Damparis;47.068157830450474;5.414599444546968;COLLEGE;Jura;SANS OBJET;384811801;GARRET Karim;
0391065W;école;Ecole élémentaire Paul Langevin;Niveau 3;22;2025;2020 - Niveau 3;2025  -  Niveau 3;2030;;;Public;Damparis;47.06995168682673;5.415739706445661;ECOLE DE NIVEAU ELEMENTAIRE;Jura;SANS OBJET;;;
0390348S;école;Ecole maternelle Joliot-Curie;Niveau 1;10;2021;2021 - Niveau 1;;;;;Public;Damparis;47.06930945639711;5.413929875971441;ECOLE MATERNELLE;Jura;SANS OBJET;;;
0391002C;collège;Collège privé Notre-Dame de Mont Roland;Niveau 2;16;2025;2020 - Niveau 2;2025  -  Niveau 2;;;;Privé;Dole;47.09294508635778;5.48992044872004;COLLEGE;Jura;CONTRAT D'ASSOCIATION TOUTES CLASSES;384794810;M. RIANT Olivier;
